Feature,Mean_Rank,Feature_Count,Appearance_Percentage,Overall_Feature_Importance
18.1223782_additive,2.0,11,0.8461538461538461,0.4230769230769231
1.5838176_additive,1.9,10,0.7692307692307693,0.4048582995951417
12.8579787_additive,2.5,12,0.9230769230769231,0.36923076923076925
3.9969997_additive,2.8,10,0.7692307692307693,0.27472527472527475
13.9718374_additive,5.0,3,0.23076923076923078,0.046153846153846156
5.4837687_overdominant,9.0,5,0.38461538461538464,0.042735042735042736
2.3629213_underdominant,9.0,4,0.3076923076923077,0.03418803418803419
11.1397551_overdominant,4.5,2,0.15384615384615385,0.03418803418803419
16.4670784_overdominant,11.4,5,0.38461538461538464,0.033738191632928474
19.4431140_heterosis,11.25,4,0.3076923076923077,0.027350427350427354
20.8402106_additive,14.8,5,0.38461538461538464,0.025987525987525985
8.5271566_underdominant,3.0,1,0.07692307692307693,0.02564102564102564
4.3742070_underdominant,17.0,5,0.38461538461538464,0.02262443438914027
17.8570926_overdominant,7.0,2,0.15384615384615385,0.02197802197802198
2.7144393_additive,15.0,4,0.3076923076923077,0.020512820512820513
12.8867910_recessive,15.0,4,0.3076923076923077,0.020512820512820513
12.1121517_underdominant,4.0,1,0.07692307692307693,0.019230769230769232
8.1636330_underdominant,9.5,2,0.15384615384615385,0.016194331983805668
15.4223886_dominant,19.25,4,0.3076923076923077,0.015984015984015987
9.4586004_additive,14.666666666666666,3,0.23076923076923078,0.015734265734265736
20.8884799_underdominant,19.75,4,0.3076923076923077,0.01557935735150925
10.9522849_superadd,5.0,1,0.07692307692307693,0.015384615384615385
4.2607267_overdominant,5.0,1,0.07692307692307693,0.015384615384615385
2.5202606_overdominant,5.0,1,0.07692307692307693,0.015384615384615385
18.2869882_additive,5.0,1,0.07692307692307693,0.015384615384615385
16.7504081_recessive,21.0,4,0.3076923076923077,0.014652014652014652
11.9508818_recessive,22.25,4,0.3076923076923077,0.013828867761452032
12.6897095_recessive,22.25,4,0.3076923076923077,0.013828867761452032
14.6745594_overdominant,23.25,4,0.3076923076923077,0.013234077750206784
4.9382947_heterosis,23.25,4,0.3076923076923077,0.013234077750206784
19.9887279_dominant,23.75,4,0.3076923076923077,0.012955465587044536
6.2541220_subadd,6.0,1,0.07692307692307693,0.01282051282051282
1.3747088_underdominant,24.0,4,0.3076923076923077,0.01282051282051282
14.7142536_recessive,6.0,1,0.07692307692307693,0.01282051282051282
15.3548265_underdominant,6.0,1,0.07692307692307693,0.01282051282051282
7.6218976_recessive,25.5,4,0.3076923076923077,0.012066365007541479
17.3953430_underdominant,25.75,4,0.3076923076923077,0.011949215832710977
20.1899757_recessive,26.5,4,0.3076923076923077,0.011611030478955007
2.706468_recessive,27.0,4,0.3076923076923077,0.011396011396011397
5.8544222_overdominant,7.0,1,0.07692307692307693,0.01098901098901099
5.348426_subadd,7.0,1,0.07692307692307693,0.01098901098901099
14.2446326_overdominant,7.0,1,0.07692307692307693,0.01098901098901099
17.901981_subadd,8.0,1,0.07692307692307693,0.009615384615384616
18.6231773_additive,8.0,1,0.07692307692307693,0.009615384615384616
19.4784876_recessive,8.0,1,0.07692307692307693,0.009615384615384616
5.8458707_overdominant,16.5,2,0.15384615384615385,0.009324009324009324
14.868251_subadd,17.5,2,0.15384615384615385,0.008791208791208791
13.8437425_underdominant,17.5,2,0.15384615384615385,0.008791208791208791
9.3769404_superadd,9.0,1,0.07692307692307693,0.008547008547008548
14.2498532_overdominant,9.0,1,0.07692307692307693,0.008547008547008548
18.156452_recessive,18.0,2,0.15384615384615385,0.008547008547008548
15.159767_heterosis,10.0,1,0.07692307692307693,0.007692307692307693
1.9786322_heterosis,10.0,1,0.07692307692307693,0.007692307692307693
1.2076573_underdominant,11.0,1,0.07692307692307693,0.006993006993006994
9.9490706_heterosis,11.0,1,0.07692307692307693,0.006993006993006994
15.7792749_underdominant,12.0,1,0.07692307692307693,0.00641025641025641
14.4054879_subadd,12.0,1,0.07692307692307693,0.00641025641025641
10.9044678_underdominant,12.0,1,0.07692307692307693,0.00641025641025641
17.2289006_superadd,12.0,1,0.07692307692307693,0.00641025641025641
7.9093696_superadd,13.0,1,0.07692307692307693,0.00591715976331361
10.841249_underdominant,13.0,1,0.07692307692307693,0.00591715976331361
17.6911005_overdominant,14.0,1,0.07692307692307693,0.005494505494505495
16.6644099_subadd,14.0,1,0.07692307692307693,0.005494505494505495
19.957593_subadd,14.0,1,0.07692307692307693,0.005494505494505495
8.7777858_additive,14.0,1,0.07692307692307693,0.005494505494505495
8.5199104_subadd,15.0,1,0.07692307692307693,0.005128205128205128
2.6031210_heterosis,15.0,1,0.07692307692307693,0.005128205128205128
19.8882270_subadd,15.0,1,0.07692307692307693,0.005128205128205128
10.7313475_superadd,16.0,1,0.07692307692307693,0.004807692307692308
4.3730448_recessive,16.0,1,0.07692307692307693,0.004807692307692308
13.8256807_dominant,17.0,1,0.07692307692307693,0.004524886877828055
18.8106905_overdominant,17.0,1,0.07692307692307693,0.004524886877828055
14.8180629_heterosis,17.0,1,0.07692307692307693,0.004524886877828055
6.8992224_dominant,18.0,1,0.07692307692307693,0.004273504273504274
4.7370667_additive,18.0,1,0.07692307692307693,0.004273504273504274
15.6875640_underdominant,18.0,1,0.07692307692307693,0.004273504273504274
8.1456226_overdominant,19.0,1,0.07692307692307693,0.004048582995951417
3.2368259_underdominant,19.0,1,0.07692307692307693,0.004048582995951417
2.6685264_dominant,20.0,1,0.07692307692307693,0.0038461538461538464
9.5724567_recessive,22.0,1,0.07692307692307693,0.003496503496503497
4.6135012_overdominant,25.0,1,0.07692307692307693,0.0030769230769230774
13.9597118_heterosis,26.0,1,0.07692307692307693,0.002958579881656805
20.6160470_dominant,27.0,1,0.07692307692307693,0.002849002849002849
11.220398_subadd,28.0,1,0.07692307692307693,0.0027472527472527475
16.345307_heterosis,29.0,1,0.07692307692307693,0.0026525198938992045
14.4339063_recessive,29.0,1,0.07692307692307693,0.0026525198938992045
7.1927152_underdominant,31.0,1,0.07692307692307693,0.0024813895781637717
8.9107966_heterosis,32.0,1,0.07692307692307693,0.002403846153846154
20.527858_overdominant,37.0,1,0.07692307692307693,0.002079002079002079
16.1494206_heterosis,38.0,1,0.07692307692307693,0.0020242914979757085
16.305541_subadd,39.0,1,0.07692307692307693,0.0019723865877712033
7.3090308_dominant,42.0,1,0.07692307692307693,0.0018315018315018315
12.2237878_dominant,45.0,1,0.07692307692307693,0.0017094017094017096
11.2638809_subadd,46.0,1,0.07692307692307693,0.0016722408026755853
5.886507_additive,47.0,1,0.07692307692307693,0.0016366612111292963
