Feature,Mean_Rank,Feature_Count,Appearance_Percentage,Overall_Feature_Importance
18.27348077_dominant,1.4166666666666667,12,0.5454545454545454,0.38502673796791437
10.84091208_pager,1.3333333333333333,3,0.13636363636363635,0.10227272727272727
10.21907028_additive,1.0,2,0.09090909090909091,0.09090909090909091
3.136492861_additive,5.0,6,0.2727272727272727,0.05454545454545454
1.277040826_superadd,1.0,1,0.045454545454545456,0.045454545454545456
1.281315656_dominant,1.0,1,0.045454545454545456,0.045454545454545456
6.28752109_subadd,1.0,1,0.045454545454545456,0.045454545454545456
1.281788173_dominant,1.0,1,0.045454545454545456,0.045454545454545456
1.281038407_overdominant,1.0,1,0.045454545454545456,0.045454545454545456
1.280666476_superadd,1.0,1,0.045454545454545456,0.045454545454545456
4.179238655_additive,3.0,3,0.13636363636363635,0.04545454545454545
19.24723067_pager,7.142857142857143,7,0.3181818181818182,0.04454545454545454
10.97298540_dominant,2.5,2,0.09090909090909091,0.03636363636363637
17.28068141_pager,17.153846153846153,13,0.5909090909090909,0.03444761516510396
1.203085725_subadd,5.75,4,0.18181818181818182,0.03162055335968379
2.241577141_additive,3.0,2,0.09090909090909091,0.030303030303030304
2.60564868_additive,3.0,2,0.09090909090909091,0.030303030303030304
17.69127482_pager,13.0,8,0.36363636363636365,0.027972027972027975
3.138536339_subadd,5.0,3,0.13636363636363635,0.02727272727272727
1.275707481_subadd,4.0,2,0.09090909090909091,0.022727272727272728
1.280583271_pager,2.0,1,0.045454545454545456,0.022727272727272728
3.112722550_pager,2.0,1,0.045454545454545456,0.022727272727272728
2.242739353_additive,2.0,1,0.045454545454545456,0.022727272727272728
10.21577856_subadd,4.0,2,0.09090909090909091,0.022727272727272728
2.241907053_superadd,2.0,1,0.045454545454545456,0.022727272727272728
5.4773875_additive,8.75,4,0.18181818181818182,0.02077922077922078
13.65684190_superadd,18.625,8,0.36363636363636365,0.019524100061012812
10.93564208_subadd,5.0,2,0.09090909090909091,0.018181818181818184
3.3794212_additive,5.5,2,0.09090909090909091,0.01652892561983471
7.89981769_subadd,5.5,2,0.09090909090909091,0.01652892561983471
4.133507054_superadd,14.4,5,0.22727272727272727,0.015782828282828284
9.68031624_subadd,3.0,1,0.045454545454545456,0.015151515151515152
1.281808772_subadd,3.0,1,0.045454545454545456,0.015151515151515152
4.179314214_additive,3.0,1,0.045454545454545456,0.015151515151515152
3.110253216_subadd,3.0,1,0.045454545454545456,0.015151515151515152
10.111023465_subadd,16.0,5,0.22727272727272727,0.014204545454545454
5.30971262_subadd,6.5,2,0.09090909090909091,0.013986013986013988
3.112490615_pager,6.5,2,0.09090909090909091,0.013986013986013988
12.5778910_pager,17.0,5,0.22727272727272727,0.013368983957219251
