Feature,Mean_Rank,Feature_Count,Appearance_Percentage,Overall_Feature_Importance
18.1223782_additive,1.5,12,0.8571428571428571,0.5714285714285714
1.5838176_additive,2.0,13,0.9285714285714286,0.4642857142857143
12.8579787_additive,2.5384615384615383,13,0.9285714285714286,0.36580086580086585
3.9969997_additive,3.7777777777777777,9,0.6428571428571429,0.17016806722689076
13.9718374_additive,4.2,5,0.35714285714285715,0.08503401360544217
13.6915545_additive,7.5,4,0.2857142857142857,0.03809523809523809
11.7035327_dominant,9.25,4,0.2857142857142857,0.03088803088803089
11.2638809_subadd,10.0,4,0.2857142857142857,0.02857142857142857
19.957593_subadd,7.0,2,0.14285714285714285,0.02040816326530612
10.1395694_heterosis,7.0,2,0.14285714285714285,0.02040816326530612
2.4382694_underdominant,7.5,2,0.14285714285714285,0.019047619047619046
18.3829677_overdominant,11.666666666666666,3,0.21428571428571427,0.01836734693877551
9.4204947_subadd,4.0,1,0.07142857142857142,0.017857142857142856
8.1636330_underdominant,12.0,3,0.21428571428571427,0.017857142857142856
3.7585003_underdominant,8.5,2,0.14285714285714285,0.01680672268907563
19.4784876_recessive,19.75,4,0.2857142857142857,0.014466546112115732
6.7755747_heterosis,10.0,2,0.14285714285714285,0.014285714285714285
13.8160310_heterosis,5.0,1,0.07142857142857142,0.014285714285714285
18.2869882_additive,5.0,1,0.07142857142857142,0.014285714285714285
16.782118_underdominant,11.0,2,0.14285714285714285,0.012987012987012986
14.2498532_overdominant,17.0,3,0.21428571428571427,0.012605042016806721
2.3616268_dominant,23.5,4,0.2857142857142857,0.012158054711246199
14.2446326_overdominant,6.0,1,0.07142857142857142,0.011904761904761904
15.6875640_underdominant,24.0,4,0.2857142857142857,0.011904761904761904
16.4476755_subadd,12.0,2,0.14285714285714285,0.011904761904761904
17.6911005_overdominant,6.0,1,0.07142857142857142,0.011904761904761904
15.1629617_additive,19.666666666666668,3,0.21428571428571427,0.010895883777239709
16.9897760_dominant,19.666666666666668,3,0.21428571428571427,0.010895883777239709
16.565384_underdominant,26.75,4,0.2857142857142857,0.010680907877169557
2.5202606_overdominant,13.5,2,0.14285714285714285,0.010582010582010581
1.807336_recessive,20.333333333333332,3,0.21428571428571427,0.010538641686182671
6.2541220_subadd,20.333333333333332,3,0.21428571428571427,0.010538641686182671
4.2607267_overdominant,7.0,1,0.07142857142857142,0.01020408163265306
14.580011_additive,7.0,1,0.07142857142857142,0.01020408163265306
1.9052012_heterosis,7.0,1,0.07142857142857142,0.01020408163265306
14.868251_subadd,21.333333333333332,3,0.21428571428571427,0.010044642857142856
16.4670784_overdominant,21.666666666666668,3,0.21428571428571427,0.009890109890109888
11.220398_subadd,14.5,2,0.14285714285714285,0.009852216748768473
10.7643248_underdominant,8.0,1,0.07142857142857142,0.008928571428571428
17.980253_overdominant,32.0,4,0.2857142857142857,0.008928571428571428
15.1306025_heterosis,16.5,2,0.14285714285714285,0.008658008658008658
19.7050454_heterosis,34.25,4,0.2857142857142857,0.008342022940563085
1.9509948_recessive,26.666666666666668,3,0.21428571428571427,0.008035714285714285
5.3359805_heterosis,9.0,1,0.07142857142857142,0.007936507936507936
4.5525973_heterosis,9.0,1,0.07142857142857142,0.007936507936507936
13.5124727_dominant,9.0,1,0.07142857142857142,0.007936507936507936
14.7134758_underdominant,18.0,2,0.14285714285714285,0.007936507936507936
17.2690682_overdominant,18.0,2,0.14285714285714285,0.007936507936507936
6.8992224_dominant,27.666666666666668,3,0.21428571428571427,0.007745266781411359
6.2674632_subadd,27.666666666666668,3,0.21428571428571427,0.007745266781411359
2.2743654_underdominant,28.333333333333332,3,0.21428571428571427,0.007563025210084033
3.3633528_recessive,19.0,2,0.14285714285714285,0.007518796992481203
15.3548265_underdominant,19.5,2,0.14285714285714285,0.007326007326007325
10.9185327_recessive,10.0,1,0.07142857142857142,0.007142857142857143
15.8900345_heterosis,20.0,2,0.14285714285714285,0.007142857142857143
20.8884799_underdominant,20.0,2,0.14285714285714285,0.007142857142857143
2.9672137_superadd,30.0,3,0.21428571428571427,0.007142857142857143
11.1397551_overdominant,10.0,1,0.07142857142857142,0.007142857142857143
17.8570926_overdominant,31.333333333333332,3,0.21428571428571427,0.006838905775075989
9.5724567_recessive,32.0,3,0.21428571428571427,0.006696428571428571
20.6812703_superadd,11.0,1,0.07142857142857142,0.006493506493506493
8.7777858_additive,11.0,1,0.07142857142857142,0.006493506493506493
1.9786322_heterosis,11.0,1,0.07142857142857142,0.006493506493506493
20.3410105_additive,33.333333333333336,3,0.21428571428571427,0.006428571428571428
18.5850058_recessive,33.666666666666664,3,0.21428571428571427,0.006364922206506365
7.9093696_superadd,23.5,2,0.14285714285714285,0.006079027355623099
18.8441519_additive,12.0,1,0.07142857142857142,0.005952380952380952
13.8437425_underdominant,12.0,1,0.07142857142857142,0.005952380952380952
5.4837687_overdominant,12.0,1,0.07142857142857142,0.005952380952380952
3.2368259_underdominant,12.0,1,0.07142857142857142,0.005952380952380952
12.4607084_superadd,24.0,2,0.14285714285714285,0.005952380952380952
5.4820548_heterosis,24.5,2,0.14285714285714285,0.005830903790087463
8.4158384_heterosis,25.0,2,0.14285714285714285,0.005714285714285714
1.5598707_recessive,25.0,2,0.14285714285714285,0.005714285714285714
4.3742070_underdominant,25.5,2,0.14285714285714285,0.005602240896358543
9.4586004_additive,13.0,1,0.07142857142857142,0.005494505494505495
17.1783543_underdominant,13.0,1,0.07142857142857142,0.005494505494505495
19.8882270_subadd,13.0,1,0.07142857142857142,0.005494505494505495
8.4359975_recessive,26.5,2,0.14285714285714285,0.005390835579514824
1.6576842_underdominant,27.5,2,0.14285714285714285,0.005194805194805194
2.4208218_additive,14.0,1,0.07142857142857142,0.00510204081632653
15.7792749_underdominant,14.0,1,0.07142857142857142,0.00510204081632653
5.348426_subadd,14.0,1,0.07142857142857142,0.00510204081632653
5.8544222_overdominant,28.5,2,0.14285714285714285,0.005012531328320802
17.3953430_underdominant,29.0,2,0.14285714285714285,0.0049261083743842365
9.9645238_overdominant,15.0,1,0.07142857142857142,0.0047619047619047615
18.3295797_heterosis,15.0,1,0.07142857142857142,0.0047619047619047615
10.3292358_underdominant,15.0,1,0.07142857142857142,0.0047619047619047615
9.873647_dominant,15.0,1,0.07142857142857142,0.0047619047619047615
5.8618481_recessive,30.5,2,0.14285714285714285,0.00468384074941452
5.8458707_overdominant,16.0,1,0.07142857142857142,0.004464285714285714
13.2758083_overdominant,33.0,2,0.14285714285714285,0.004329004329004329
13.2585850_underdominant,17.0,1,0.07142857142857142,0.004201680672268907
14.9214461_underdominant,34.0,2,0.14285714285714285,0.004201680672268907
3.5487260_underdominant,34.5,2,0.14285714285714285,0.004140786749482401
16.1285245_underdominant,35.0,2,0.14285714285714285,0.004081632653061224
2.1534696_recessive,18.0,1,0.07142857142857142,0.003968253968253968
2.3629213_underdominant,19.0,1,0.07142857142857142,0.0037593984962406013
18.8106905_overdominant,19.0,1,0.07142857142857142,0.0037593984962406013
2.8328886_recessive,38.0,2,0.14285714285714285,0.0037593984962406013
7.3054301_underdominant,38.5,2,0.14285714285714285,0.0037105751391465678
20.1728208_superadd,20.0,1,0.07142857142857142,0.0035714285714285713
5.4386123_overdominant,20.0,1,0.07142857142857142,0.0035714285714285713
9.2812769_underdominant,40.0,2,0.14285714285714285,0.0035714285714285713
8.8050123_underdominant,21.0,1,0.07142857142857142,0.0034013605442176865
2.6685264_dominant,21.0,1,0.07142857142857142,0.0034013605442176865
4.9572201_recessive,21.0,1,0.07142857142857142,0.0034013605442176865
14.2545921_overdominant,44.5,2,0.14285714285714285,0.003210272873194221
6.4331689_overdominant,23.0,1,0.07142857142857142,0.003105590062111801
8.7701519_heterosis,23.0,1,0.07142857142857142,0.003105590062111801
1.5670480_underdominant,24.0,1,0.07142857142857142,0.002976190476190476
18.4587262_superadd,24.0,1,0.07142857142857142,0.002976190476190476
9.1813278_additive,24.0,1,0.07142857142857142,0.002976190476190476
2.6047650_dominant,25.0,1,0.07142857142857142,0.002857142857142857
