Feature,PFI_importance,Rank,Pipeline_No,Pipeline_R2,Pipeline_Feature_Count,Pipeline_Selector,Pipeline_Root
1.5838176_additive,0.036559754276543545,1,1,0.03774041,1,SequentialFeatureSelectorRFClassification,DecisionTreeClassifier
18.1223782_additive,0.04522686647467276,1,2,0.14936283,4,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
1.5838176_additive,0.04252533094308552,2,2,0.14936283,4,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
12.8579787_additive,0.03893508158491932,3,2,0.14936283,4,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
3.9969997_additive,0.0344584989367101,4,2,0.14936283,4,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
18.1223782_additive,0.05357001552789443,1,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
12.8579787_additive,0.034391284003931405,2,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
1.5838176_additive,0.03029016328932113,3,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
3.9969997_additive,0.025966840808747935,4,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
13.9718374_additive,0.018018256624687284,5,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
19.4784876_pager,-0.0026102190210073673,6,3,0.16817702,6,SelectFweClassification,GradientBoostingClassifier
3.9969997_additive,0.04155640528159736,1,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
12.8579787_additive,0.03880748187504727,2,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
13.9718374_additive,0.01510746802851678,3,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
1.5838176_additive,0.014959469135962083,4,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
3.2867842_pager,0.013521764981100097,5,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
5.6749445_pager,0.011071849891349668,6,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
8.4359975_recessive,0.009980161897103136,7,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
10.7313475_superadd,0.009551790830238566,8,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
4.9572201_recessive,0.002001284295522712,9,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
3.3027620_recessive,-0.007009383004810668,10,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
13.2758083_overdominant,-0.009397931054425497,11,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
2.3629213_underdominant,-0.014456507547978191,12,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
19.8882270_subadd,-0.01987829477015826,13,4,0.17878759,13,SelectFromLogisticL1,GradientBoostingClassifier
18.1223782_additive,0.03846880176302191,1,5,0.19936159,19,SelectFromLogisticL1,LogisticRegression
1.5838176_additive,0.0370602641554033,2,5,0.19936159,19,SelectFromLogisticL1,LogisticRegression
12.8579787_additive,0.03491700369367403,3,5,0.19936159,19,SelectFromLogisticL1,LogisticRegression
3.9969997_additive,0.03139462779474149,4,5,0.19936159,19,SelectFromLogisticL1,LogisticRegression
13.9718374_additive,0.0270728967692918,5,5,0.19936159,19,SelectFromLogisticL1,LogisticRegression
