Feature,PFI_importance,Rank,Pipeline_No,Pipeline_R2,Pipeline_Feature_Count,Pipeline_Selector,Pipeline_Root
1.281038407_overdominant,0.02780539319942688,1,1,0.011838494,1,SequentialFeatureSelectorRF,RandomForestRegressor
18.27348077_dominant,0.02032188986658877,1,2,0.03025688,1,SelectFwe,RandomForestRegressor
18.27348077_dominant,0.020526085082336713,1,3,0.0484024,4,SelectFwe,LinearRegression
3.112722550_pager,0.018887032727413308,2,3,0.0484024,4,SelectFwe,LinearRegression
4.179314214_additive,0.01728683361433569,3,3,0.0484024,4,SelectFwe,LinearRegression
6.29889998_subadd,0.013309355050282932,4,3,0.0484024,4,SelectFwe,LinearRegression
18.27348077_dominant,0.02010752262456055,1,4,0.05179487,5,SelectFwe,LinearRegression
2.241577141_additive,0.016115543861473864,2,4,0.05179487,5,SelectFwe,LinearRegression
19.24723067_pager,0.013213482767226024,3,4,0.05179487,5,SelectFwe,LinearRegression
7.89981769_subadd,0.011205372047924454,4,4,0.05179487,5,SelectFwe,LinearRegression
10.23275961_pager,0.005225325666372116,5,4,0.05179487,5,SelectFwe,LinearRegression
3.136492861_additive,0.01625873440403666,1,5,0.052693367,7,SelectFwe,LinearRegression
17.69127482_pager,0.010378284205087964,2,5,0.052693367,7,SelectFwe,LinearRegression
9.68031624_subadd,0.007777710837489377,3,5,0.052693367,7,SelectFwe,LinearRegression
1.275707481_subadd,0.005121376069878228,4,5,0.052693367,7,SelectFwe,LinearRegression
1.279961922_subadd,0.003562525547887917,5,5,0.052693367,7,SelectFwe,LinearRegression
2.90104919_superadd,0.0021702681630423036,6,5,0.052693367,7,SelectFwe,LinearRegression
1.277487428_dominant,0.0001756580237453076,7,5,0.052693367,7,SelectFwe,LinearRegression
18.27348077_dominant,0.018990101686017294,1,6,0.06754673,10,SelectFwe,LinearRegression
10.84091208_pager,0.01604911095045347,2,6,0.06754673,10,SelectFwe,LinearRegression
19.24723067_pager,0.013097435295781256,3,6,0.06754673,10,SelectFwe,LinearRegression
