Feature,PFI_importance,Rank,Pipeline_No,Pipeline_R2,Pipeline_Feature_Count,Pipeline_Selector,Pipeline_Root
18.1223782_additive,0.0386491072177887,1,1,0.037553936,1,SequentialFeatureSelectorRFClassification,ElasticNetClassification
1.5838176_additive,0.03835976154019103,1,2,0.07084488,2,SelectFromLogisticL1,GradientBoostingClassifier
12.8579787_additive,0.03340739974055194,2,2,0.07084488,2,SelectFromLogisticL1,GradientBoostingClassifier
18.1223782_additive,0.04199466455907215,1,3,0.112628385,3,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
1.5838176_additive,0.040925426490529826,2,3,0.112628385,3,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
12.8579787_additive,0.03663113658623682,3,3,0.112628385,3,SequentialFeatureSelectorRFClassification,GradientBoostingClassifier
18.1223782_additive,0.04632048538411676,1,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
1.5838176_additive,0.037054160063365274,2,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
3.9969997_additive,0.03652750900193172,3,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
12.8579787_additive,0.03535875704119066,4,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
18.2869882_additive,0.011758291412209356,5,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
16.782118_underdominant,-0.0035419526666492906,6,4,0.14950411,6,SelectFromLogisticL1,GradientBoostingClassifier
1.5838176_additive,0.038927067220211026,1,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
12.8579787_additive,0.03730363577604294,2,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
18.1223782_additive,0.03697439283132553,3,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
3.9969997_additive,0.03119963824748993,4,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
6.2541220_subadd,0.005186784863471985,5,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
13.6915545_additive,0.0038145607709884643,6,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
16.565384_underdominant,0.001211923360824585,7,5,0.15420082,7,SelectFromExtraTreesClassification,ElasticNetClassification
1.5838176_additive,0.04904231334027253,1,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
13.9718374_additive,0.042607471591001006,2,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
12.8579787_additive,0.028088990371077767,3,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
9.4204947_subadd,0.012808026899367074,4,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
6.7755747_heterosis,0.00899439018304843,5,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
1.807336_recessive,0.0071226645277444045,6,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
14.9214461_underdominant,0.004924399396301532,7,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
11.7035327_dominant,-0.00175306647234232,8,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
2.3616268_dominant,-0.004501142019912077,9,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
10.9185327_recessive,-0.00584139122052953,10,6,0.15503168,10,FeatureEncodingFrequencySelector,GradientBoostingClassifier
12.8579787_additive,0.035984979982603964,1,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
18.1223782_additive,0.035186091520721316,2,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
1.5838176_additive,0.03432985978715125,3,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
3.9969997_additive,0.030334654773562467,4,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
13.9718374_additive,0.025122044473008205,5,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
6.2541220_subadd,0.005825312983659612,6,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
19.957593_subadd,0.004070116002737893,7,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
8.1636330_underdominant,0.003019531562768633,8,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
11.2638809_subadd,0.0022477287584152976,9,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
14.868251_subadd,0.0019430014260303113,10,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
20.8884799_underdominant,0.0016763153784328216,11,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
14.7134758_underdominant,0.001335897775052729,12,7,0.18329199,12,SelectFromExtraTreesClassification,SVC
18.1223782_additive,0.040785675661937984,1,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
12.8579787_additive,0.039016709248736285,2,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
1.5838176_additive,0.03397312563411089,3,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
3.9969997_additive,0.031772219704843806,4,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
13.9718374_additive,0.026451115703828437,5,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
13.6915545_additive,0.0062769212562550246,6,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
2.4382694_underdominant,0.0035398811492405218,7,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
11.220398_subadd,0.0033836369079036865,8,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
12.4607084_superadd,0.0033077670156855038,9,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
3.7585003_underdominant,0.0032526154983713988,10,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
15.1629617_additive,0.002078619794608034,11,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
3.2368259_underdominant,0.001744142027929869,12,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
9.4586004_additive,0.0015202344572832832,13,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
5.348426_subadd,0.00038707944649634063,14,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
10.3292358_underdominant,-0.0008576283654563732,15,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
16.565384_underdominant,-0.0011705476580643876,16,8,0.18647131,16,SelectFromExtraTreesClassification,GradientBoostingClassifier
1.5838176_additive,0.04473253213230965,1,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
18.1223782_additive,0.04151724023731406,2,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
12.8579787_additive,0.037269790944112625,3,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
17.2690682_overdominant,0.014904067654018036,4,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
19.4784876_recessive,0.009891660464655163,5,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
5.4820548_heterosis,0.008755230206320307,6,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
16.9897760_dominant,0.008331074015969333,7,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
14.868251_subadd,0.007821544555516058,8,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
9.5724567_recessive,0.006300868728417655,9,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
18.5850058_recessive,0.0024242163167283387,10,9,0.20294161,22,VarianceThreshold,GradientBoostingClassifier
